id,county,model_turnout,actual_turnout,repub,dem,oth,county_model_turnout,county_actual_turnout,county_dev,pc_dev,pc_county_ratio,pc_sd,t,modeled_support
Augusta405,Augusta,832.88107,723,474,222,27,22210.96014,18981,0.17016807,0.15197935,0.893113202,0.048198233,2.217649721,0.373797716
Augusta603,Augusta,1191.918,1023,726,266,31,22210.96014,18981,0.17016807,0.165120235,0.970336177,0.048198233,0.615454573,0.335662
Augusta101,Augusta,611.912515,483,314,155,14,22210.96014,18981,0.17016807,0.266899617,1.568447105,0.048198233,11.79394073,0.394440935
Augusta504,Augusta,1107.324,894,650,223,21,22210.96014,18981,0.17016807,0.23861745,1.40224573,0.048198233,8.34565301,0.332974
Augusta402,Augusta,655.462462,572,426,128,18,22210.96014,18981,0.17016807,0.145913395,0.857466357,0.048198233,2.957237932,0.302712799
Augusta303,Augusta,644.763627,567,449,98,20,22210.96014,18981,0.17016807,0.137149254,0.805963503,0.048198233,4.025801027,0.265614089
Augusta802,Augusta,1611.671,1402,922,429,51,22210.96014,18981,0.17016807,0.149551355,0.878844986,0.048198233,2.513681644,0.35086
Augusta502,Augusta,566.523297,505,355,137,13,22210.96014,18981,0.17016807,0.121828311,0.715929321,0.048198233,5.893798597,0.310190542
Augusta201,Augusta,1197.722864,998,758,223,17,22210.96014,18981,0.17016807,0.20012311,1.176032084,0.048198233,3.652251813,0.344588
Augusta103,Augusta,1110.343137,900,624,255,21,22210.96014,18981,0.17016807,0.233714597,1.373433903,0.048198233,7.747875351,0.361988944
Augusta102,Augusta,627.139732,552,372,164,16,22210.96014,18981,0.17016807,0.136122703,0.799930932,0.048198233,4.150962702,0.394045515
Augusta202,Augusta,776.15645,682,496,170,16,22210.96014,18981,0.17016807,0.138059311,0.811311492,0.048198233,3.914842841,0.31683016
Augusta403,Augusta,376.0704,295,212,77,6,22210.96014,18981,0.17016807,0.274814915,1.614961697,0.048198233,12.75900912,0.387716
Bath101,Bath,267.0115,210,111,92,7,1395.760411,1124,0.241779725,0.271483333,1.122854008,0.074501224,1.649019995,0.538247
Bath301,Bath,209.4282,159,110,43,6,1395.760411,1124,0.241779725,0.317158491,1.31176628,0.074501224,4.184713537,0.46832
Bath401,Bath,300.215,246,141,99,6,1395.760411,1124,0.241779725,0.220386179,0.911516376,0.074501224,1.187680137,0.551272
Bath501,Bath,281.687773,230,128,93,9,1395.760411,1124,0.241779725,0.224729448,0.92948012,0.074501224,0.946560024,0.525939587
Bath201,Bath,225.652158,183,68,107,8,1395.760411,1124,0.241779725,0.233071902,0.963984476,0.074501224,0.483421908,0.589863271
Bath302,Bath,61.17076,49,29,18,2,1395.760411,1124,0.241779725,0.248382857,1.027310528,0.074501224,0.366578252,0.481857
Bath102,Bath,50.59502,47,31,14,2,1395.760411,1124,0.241779725,0.076489787,0.316361462,0.074501224,9.176205474,0.455458
Bedford503,Bedford,402.4215,345,239,94,12,27312.7135,23614,0.156632231,0.16643913,1.062610993,0.066383313,0.943173667,0.343541
